name,alt,nps,kgm,od,thk,sch,profileCode,code
CHS 18 SCH 100,,18,309.6188865,457,29.36,100,CHS,ASME B36.10M
CHS 18 SCH 120,,18,363.5600398,457,34.93,120,CHS,ASME B36.10M
CHS 18 SCH 140,,18,408.2581639,457,39.67,140,CHS,ASME B36.10M
CHS 18 SCH 160,,18,459.3670324,457,45.24,160,CHS,ASME B36.10M
CHS 20 SCH 5,,20,59.31695686,508,4.78,5,CHS,ASME B36.10M
CHS 20 SCH 10,,20,78.55387515,508,6.35,10,CHS,ASME B36.10M
CHS 20 SCH 20,CHS 20 SCH STD,20,117.145335,508,9.53,20(STD),CHS,ASME B36.10M
CHS 20 SCH 30,CHS 20 SCH XS,20,155.1190446,508,12.7,30(XS),CHS,ASME B36.10M
CHS 20 SCH 40,,20,183.4213735,508,15.09,40,CHS,ASME B36.10M
CHS 20 SCH 60,,20,247.8274663,508,20.62,60,CHS,ASME B36.10M
CHS 20 SCH 80,,20,311.1747722,508,26.19,80,CHS,ASME B36.10M
CHS 20 SCH 100,,20,381.5264107,508,32.54,100,CHS,ASME B36.10M
CHS 20 SCH 120,,20,441.4926654,508,38.1,120,CHS,ASME B36.10M
CHS 20 SCH 140,,20,508.1143064,508,44.45,140,CHS,ASME B36.10M
CHS 20 SCH 160,,20,564.8146103,508,50.01,160,CHS,ASME B36.10M
CHS 22 SCH 5,,22,65.3049967,558.8,4.78,5,CHS,ASME B36.10M
CHS 22 SCH 10,,22,86.50869795,558.8,6.35,10,CHS,ASME B36.10M
CHS 22 SCH 20,CHS 22 SCH STD,22,129.0838328,558.8,9.53,20(STD),CHS,ASME B36.10M
CHS 22 SCH 30,CHS 22 SCH XS,22,171.0286902,558.8,12.7,30(XS),CHS,ASME B36.10M
CHS 22 SCH 40,,22,212.4779358,558.8,15.87,40,CHS,ASME B36.10M
CHS 22 SCH 60,,22,294.1432741,558.8,22.23,60,CHS,ASME B36.10M
CHS 22 SCH 80,,22,373.6899362,558.8,28.58,80,CHS,ASME B36.10M
CHS 22 SCH 100,,22,451.2478926,558.8,34.93,100,CHS,ASME B36.10M
CHS 22 SCH 120,,22,526.8171433,558.8,41.28,120,CHS,ASME B36.10M
CHS 22 SCH 140,,22,600.3976883,558.8,47.63,140,CHS,ASME B36.10M
CHS 22 SCH 160,,22,671.9895276,558.8,53.98,160,CHS,ASME B36.10M
CHS 24 SCH 5,,24,82.52450258,609.6,5.54,5,CHS,ASME B36.10M
CHS 24 SCH 10,,24,94.46352075,609.6,6.35,10,CHS,ASME B36.10M
CHS 24 SCH 20,CHS 24 SCH STD,24,141.0223307,609.6,9.53,20(STD),CHS,ASME B36.10M
CHS 24 SCH XS,,24,186.9383358,609.6,12.7,XS,CHS,ASME B36.10M
CHS 24 SCH 30,,24,209.4955554,609.6,14.27,30,CHS,ASME B36.10M
CHS 24 SCH 40,,24,255.2373524,609.6,17.48,40,CHS,ASME B36.10M
CHS 24 SCH 60,,24,355.0202522,609.6,24.61,60,CHS,ASME B36.10M
CHS 24 SCH 80,,24,441.7763639,609.6,30.96,80,CHS,ASME B36.10M
CHS 24 SCH 100,,24,547.3265275,609.6,38.89,100,CHS,ASME B36.10M
CHS 24 SCH 120,,24,639.5805665,609.6,46.02,120,CHS,ASME B36.10M
CHS 24 SCH 140,,24,719.6314516,609.6,52.37,140,CHS,ASME B36.10M
CHS 24 SCH 160,,24,807.6291154,609.6,59.54,160,CHS,ASME B36.10M
CHS 26 SCH 10,,26,127.4340419,660.4,7.92,10,CHS,ASME B36.10M
CHS 26 SCH STD,,26,152.9608285,660.4,9.53,STD,CHS,ASME B36.10M
CHS 26 SCH 20,CHS 26 SCH XS,26,202.8479814,660.4,12.7,20(XS),CHS,ASME B36.10M
CHS 28 SCH 10,,28,137.3556476,711.2,7.92,10,CHS,ASME B36.10M
CHS 28 SCH STD,,28,164.8993264,711.2,9.53,STD,CHS,ASME B36.10M
CHS 28 SCH 20,CHS 28 SCH XS,28,218.757627,711.2,12.7,20(XS),CHS,ASME B36.10M
CHS 28 SCH 30,,28,272.2878683,711.2,15.88,30,CHS,ASME B36.10M
CHS 30 SCH 5,,30,118.3279892,762,6.35,5,CHS,ASME B36.10M
CHS 30 SCH 10,,30,147.2772534,762,7.92,10,CHS,ASME B36.10M
CHS 30 SCH STD,,30,176.8378242,762,9.53,STD,CHS,ASME B36.10M
CHS 30 SCH 20,CHS 30 SCH XS,30,234.6672726,762,12.7,20(XS),CHS,ASME B36.10M
